Bundle & Codes,,,,,,123,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,SKU ARRAY,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward / Extra Discount,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
TAB-AY-05,Tab S10 FE accy 3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Smart Book Cover Black [EF-BX710PBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-BX710PBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-BX710PBEGWW, SM-X520NLBETGY",EF-BX710PBEGWW,B2C,"
0",EF-BX710PBEGWW,3,0,0,449,,449,,,0,"1,080.00",30%,RRP,314.30,314.30,-134.70,-134.70,-134.70,0.00,"4,588.00",0.00,0.00,"4,588.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,B2C,"
",SM-X520NLBETGY,1,1,"4,588","4,588",,"4,588","1,080",,"1,080",,,,,"4,588.00","4,588.00",0.00,,"4,588.00",,,"4,588.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-06,Tab S10 FE+ accy 1,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Book Cover Keyboard Slim — AI Key Black [EF-DX620UBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX620UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-DX620UBEGWW, SM-X620NZAATGY",EF-DX620UBEGWW,B2C,"
",EF-DX620UBEGWW,3,3,"3,987","1,329",,"1,329",,,0,"1,080.00",630,RRP,699.00,699.00,"3,357.00","3,357.00","3,357.00","2,277.00","7,065.00",0.00,"2,277.00","7,065.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,B2C,"
",SM-X620NZAATGY,1,1,"4,788","4,788",,"4,788","1,080",,"1,080",,,,,"4,788.00","4,788.00",0.00,,"4,788.00",,,"4,788.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-07,Tab S10 FE+ accy 2,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Book Cover Keyboard — AI Key Black [EF-DX625UBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX625UBEGWW&&products[0].quantity=2&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-DX625UBEGWW, SM-X620NZAATGY",EF-DX625UBEGWW,B2C,"
",EF-DX625UBEGWW,2,2,"3,738","1,869",,"1,869",,,0,"1,080.00",970,RRP,899.00,899.00,"2,768.00","2,768.00","2,768.00","1,688.00","6,476.00",0.00,"1,688.00","6,476.00",1 x  Z-AVDAVOUCHER,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,B2C,"
",SM-X620NZAATGY,1,1,"4,788","4,788",,"4,788","1,080",,"1,080",,,,,"4,788.00","4,788.00",0.00,,"4,788.00",,,"4,788.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-08,Tab S10 FE+ accy 3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Smart Book Cover Black [EF-BX620PBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-BX620PBEGWW&&products[0].quantity=2&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-BX620PBEGWW, SM-X620NZAATGY",EF-BX620PBEGWW,B2C,"
",EF-BX620PBEGWW,2,2,"1,558",779,,779,,,0,"1,080.00",30%,RRP,545.30,545.30,"1,324.30","1,324.30","1,324.30",244.30,"5,032.30",0.00,244.30,"5,032.30",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,B2C,"
",SM-X620NZAATGY,1,1,"4,788","4,788",,"4,788","1,080",,"1,080",,,,,"4,788.00","4,788.00",0.00,,"4,788.00",,,"4,788.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-01,S25 Tab S10FE+ ,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Gray, 12GB, 256GB [SM-X620NZAETGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X620NZAETGY&&products[0].quantity=2&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-X620NZAETGY, SM-S9360ZKGTGY",SM-X620NZAETGY,B2C,"
",SM-X620NZAETGY,2,2,"11,176","5,588",,"5,588","2,160",,"2,160","2,460.00",800,RRP,"4,788.00","4,788.00","10,376.00",0.00,0.00,"10,376.00","18,374.00",0.00,"10,376.00","18,374.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",,,SM-S9360ZKGTGY,B2C,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,998","7,998",300,,300,,,,,"7,998.00","7,998.00",0.00,,"7,998.00",,,"7,998.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-02,S25 Tab S10FE+,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Light Blue, 12GB, 256GB [SM-X620NLBETGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X620NLBETGY&&products[0].quantity=2&&products[1].productCode=SM-S9360DBGTGY&&products[1].quantity=1,"SM-X620NLBETGY, SM-S9360DBGTGY",SM-X620NLBETGY,B2C,"
",SM-X620NLBETGY,2,2,"11,176","5,588",,"5,588","2,160",,"2,160","2,160.00",800,RRP,"4,788.00","4,788.00","10,376.00",0.00,0.00,"10,376.00","10,376.00",0.00,"10,376.00","10,376.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 512GB+12GB, Navy [SM-S9360DBGTGY]",,,SM-S9360DBGTGY,B2C,"
0",SM-S9360DBGTGY,1,0,0,"8,598","7,998","7,998",0,,0,,,,,"7,998.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-03,S25 Tab S10FE,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE, Gray, 12GB, 256GB [SM-X520NZAETGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X520NZAETGY&&products[0].quantity=2&&products[1].productCode=SM-S9310LGGTGY&&products[1].quantity=1,"SM-X520NZAETGY, SM-S9310LGGTGY",SM-X520NZAETGY,B2C,"
",SM-X520NZAETGY,2,2,"9,176","4,588",,"4,588","2,160",,"2,160","2,460.00",600,RRP,"3,988.00","3,988.00","8,576.00",0.00,0.00,"8,576.00","14,474.00",0.00,"8,576.00","14,474.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25, 256GB+8GB, Mint [SM-S9310LGGTGY]",,,SM-S9310LGGTGY,B2C,"
",SM-S9310LGGTGY,1,1,"5,898","5,898",,"5,898",300,,300,,,,,"5,898.00","5,898.00",0.00,,"5,898.00",,,"5,898.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-04,S25 Tab S10FE,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE, Gray, 8GB, 128GB [SM-X520NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X520NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZBWTGY&&products[1].quantity=1,"SM-X520NZAATGY, SM-S9380ZBWTGY",SM-X520NZAATGY,B2C,"
",SM-X520NZAATGY,2,2,"7,576","3,788",,"3,788","2,160",,"2,160","2,510.00",600,RRP,"3,188.00","3,188.00","6,976.00",0.00,0.00,"6,976.00","19,574.00",0.00,"6,976.00","19,574.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Silverblue [SM-S9380ZBWTGY]",,,SM-S9380ZBWTGY,B2C,"
",SM-S9380ZBWTGY,1,1,"13,398","13,398","12,598","12,598",350,,350,,,,,"12,598.00","12,598.00",0.00,,"12,598.00",,,"12,598.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,WU B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L705FDAATGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,500,RRP,"1,498.00","1,498.00","3,296.00","3,296.00","3,296.00","3,296.00","3,296.00",0.00,"3,296.00","3,296.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",,,SM-L705FDAATGY,B2C,"
0",SM-L705FDAATGY,1,0,0,"5,098","4,298","4,298",,,0,,,,,"4,298.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-16,W7 L315 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L315FZSATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L315FZSATGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,600,RRP,"1,398.00","1,398.00","3,196.00","3,196.00","3,196.00","3,196.00","3,196.00",0.00,"3,196.00","3,196.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Watch7 44mm (LTE), Silver [SM-L315FZSATGY]",,,SM-L315FZSATGY,B2C,"
0",SM-L315FZSATGY,1,0,0,"2,598","2,398","2,398",,,0,,,,,"2,398.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-17,W7 L310 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L310NZSATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L310NZSATGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,600,RRP,"1,398.00","1,398.00","3,196.00","3,196.00","5,194.00","3,196.00","5,194.00",0.00,"3,196.00","5,194.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Watch7 44mm (BT), Silver [SM-L310NZSATGY]",,,SM-L310NZSATGY,B2C,"
",SM-L310NZSATGY,1,1,"2,198","2,198","1,998","1,998",,,0,,,,,"1,998.00","1,998.00","1,998.00",,"1,998.00",,,"1,998.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-18,W7 L305 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L305FZEATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L305FZEATGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,600,RRP,"1,398.00","1,398.00","3,196.00","3,196.00","3,196.00","3,196.00","3,196.00",0.00,"3,196.00","3,196.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Watch7 40mm (LTE), Cream [SM-L305FZEATGY]",,,SM-L305FZEATGY,B2C,"
0",SM-L305FZEATGY,1,0,0,"2,398","2,198","2,198",,,0,,,,,"2,198.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-19,W7 L300 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L300NZGATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L300NZGATGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,600,RRP,"1,398.00","1,398.00","3,196.00","3,196.00","4,994.00","3,196.00","4,994.00",0.00,"3,196.00","4,994.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Watch7 40mm (BT), Green [SM-L300NZGATGY]",,,SM-L300NZGATGY,B2C,"
",SM-L300NZGATGY,1,1,"1,998","1,998","1,798","1,798",,,0,,,,,"1,798.00","1,798.00","1,798.00",,"1,798.00",,,"1,798.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRgame,"B7Q7 HRgame 100GC 
(Til Jul 30)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,Galaxy SmartTag2 (4pack) [EI-T5600KWEGWW],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EI-T5600KWEGWW&&products[0].quantity=1&&products[1].productCode=EF-GS931CBEGWW&&products[1].quantity=1,"EI-T5600KWEGWW, EF-GS931CBEGWW",EI-T5600KWEGWW,B2C,"
",EI-T5600KWEGWW,1,1,788,788,,788,,100,100,100.00,,,,788.00,788.00,788.00,"1,136.00",718.63,"1,036.00",0.00,718.63,"1,036.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25, Standing Grip Case, Black [EF-GS931CBEGWW]",,,EF-GS931CBEGWW,B2C,"
",EF-GS931CBEGWW,1,1,348,348,,348,,,0,,,,,348.00,348.00,348.00,,317.37,,,317.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
