,EA=CTV-L-10,,Unavailable,,,"43"" Lifestyle Frame LS03D",,UN,QA43LS03DAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA43LS03DAJXZK,QA43LS03DAJXZK,"7,980",,,,"7,980",No,0,0,,,,,,,,,,,Add to Cart,"7,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV-L-11,,inStock,,,"32"" The Frame LS03C",,N,QA32LS03CBJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA32LS03CBJXZK,QA32LS03CBJXZK,"4,880","4,380",,,"4,380",No,0,0,,,,,,,,,,,Add to Cart,"4,380.00",,,,,,,,ZG-SLIMFITINCL,,,,ZG-SLIMFITINCL,1,"
●  1 x  Slim Fit Wall Mount included with The Frame [ZG-SLIMFITINCL]
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-L-12,,Unavailable,,,"43"" The Sero LS05B White",,UN,QA43LS05BBJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA43LS05BBJXZK,QA43LS05BBJXZK,"12,980",,,,12980,No,0,0,,,,,,,,,,,Add to Cart,"12,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-L-13,,Unavailable,,,"43"" Lifestyle Serif LS01D",,EOL,QA43LS01DAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA43LS01DAJXZK,QA43LS01DAJXZK,"9,980",,,,"9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-01,,Unavailable,,,"75"" Crystal UHD DU8000",,EOL,UA75DU8000JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA75DU8000JXZK,UA75DU8000JXZK,"12,980","9,980",,,"9,980",No,500,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-02,,inStock,,,"65"" Crystal UHD DU8000",,N,UA65DU8000JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA65DU8000JXZK,UA65DU8000JXZK,"8,980","7,980",,,"7,980",No,300,0,,,,,,,,,,,Add to Cart,"7,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-03,,Unavailable,,,"55"" Crystal UHD DU8000",,EOL,UA55DU8000JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA55DU8000JXZK,UA55DU8000JXZK,"5,680",,,,"5,680",No,0,0,,,,,,,,,,,Add to Cart,"5,680.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-04,,inStock,,,"50"" Crystal UHD DU8000",,N,UA50DU8000JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA50DU8000JXZK,UA50DU8000JXZK,"4,980","4,580",,,"4,580",No,150,0,,,,,,,,,,,Add to Cart,"4,580.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-05,,Unavailable,,,"43"" Crystal UHD DUE800 4K",,EOL,UA43DUE800JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA43DUE800JXZK,UA43DUE800JXZK,"4,680","3,480",,,"3,480",No,0,0,,,,,,,,,,,Add to Cart,"3,480.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-06,,Unavailable,,,"43"" Crystal UHD DU8000",,EOL,UA43DU8000JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA43DU8000JXZK,UA43DU8000JXZK,"4,380","3,980",,,"3,980",No,150,0,,,,,,,,,,,Add to Cart,"3,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-07,,Unavailable,,,"55"" Crystal UHD DU7700",,UN,UA55DU7700JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA55DU7700JXZK,UA55DU7700JXZK,"4,780","4,280",,,"4,280",No,150,0,,,,,,,,,,,Add to Cart,"4,280.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-08,,inStock,,,"50"" Crystal UHD DU7700",,N,UA50DU7700JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA50DU7700JXZK,UA50DU7700JXZK,"4,180","3,980",,,"3,980",No,150,0,,,,,,,,,,,Add to Cart,"3,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-09,,Unavailable,,,"43"" Crystal UHD DU7700",,UN,UA43DU7700JXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA43DU7700JXZK,UA43DU7700JXZK,"3,580",,,,"3,580",No,0,0,,,,,,,,,,,Add to Cart,"3,580.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-10,,inStock,,,Full HD F6000 Smart TV 2025 UA32F6000FJXZK,,N,UA32F6000FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA32F6000FJXZK,UA32F6000FJXZK,"2,780","2,780",,,"2,780",No,0,0,,,,,,,,,,,Add to Cart,"2,780.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV-U-11,,Unavailable,,,"32"" T5300 FHD Smart TV",,EOL,UA32T5300AJXZK,https://www.samsung.com/hk/multistore/hkses/buy.UA32T5300AJXZK,UA32T5300AJXZK,"2,980","2,980",,,"2,980",No,0,0,,,,,,,,,,,Add to Cart,"2,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EA=CTV25,,,,,,,-,,,,,,,,,,0,0,,,,,,,,,,,,0.00,,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-L-01,,inStock,,,"43"" The Frame 4K Vision AI Smart TV (2025)",,N,QA43LS03FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA43LS03FAJXZK,QA43LS03FAJXZK,"8,980","8,980",,,"8,980",No,0,0,,,,,,,,,,,Add to Cart,"8,980.00",,ZG-12MONTHSARTSTORE,Select free bezel on buy page,,,,,,,,,"ZG-12MONTHSARTSTORE,Select free bezel on buy page",1,"
●  1 x  12 Months Art Store subscription [ZG-12MONTHSARTSTORE]
●  0 x  1 unit of Free Frame Bezel [Select free bezel on buy page]
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-L-02,,inStock,,,"50"" The Frame 4K Vision AI Smart TV (2025)",,N,QA50LS03FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA50LS03FAJXZK,QA50LS03FAJXZK,"11,280","11,280",,,"11,280",No,0,0,,,,,,,,,,,Add to Cart,"11,280.00",,ZG-12MONTHSARTSTORE,Select free bezel on buy page,,,,,,,,,"ZG-12MONTHSARTSTORE,Select free bezel on buy page",1,"
●  1 x  12 Months Art Store subscription [ZG-12MONTHSARTSTORE]
●  0 x  1 unit of Free Frame Bezel [Select free bezel on buy page]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-L-03,,inStock,,,"55"" The Frame 4K Vision AI Smart TV (2025)",,N,QA55LS03FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA55LS03FAJXZK,QA55LS03FAJXZK,"12,980","12,980",,,"12,980",No,0,0,,,,,,,,,,,Add to Cart,"12,980.00",,ZG-12MONTHSARTSTORE,Select free bezel on buy page,,,,,,,,,"ZG-12MONTHSARTSTORE,Select free bezel on buy page",1,"
●  1 x  12 Months Art Store subscription [ZG-12MONTHSARTSTORE]
●  0 x  1 unit of Free Frame Bezel [Select free bezel on buy page]
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-L-04,,inStock,,,"65"" The Frame Pro 4K Vision AI Smart TV (2025)",,N,QA65LS03FWJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65LS03FWJXZK,QA65LS03FWJXZK,"17,980","17,980",,,17980,No,0,0,,,,,,,,,,,Add to Cart,"17,980.00",,ZG-12MONTHSARTSTORE,Select free bezel on buy page,,,,,,,,,"ZG-12MONTHSARTSTORE,Select free bezel on buy page",1,"
●  1 x  12 Months Art Store subscription [ZG-12MONTHSARTSTORE]
●  0 x  1 unit of Free Frame Bezel [Select free bezel on buy page]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-L-05,,OOS (Blocked),,,"75"" The Frame Pro 4K Vision AI Smart TV (2025)",,N,QA75LS03FWJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA75LS03FWJXZK,QA75LS03FWJXZK,"32,980","32,980",,,32980,No,0,0,,,,,,,,,,,Add to Cart,"32,980.00",,ZG-12MONTHSARTSTORE,Select free bezel on buy page,,,,,,,,,"ZG-12MONTHSARTSTORE,Select free bezel on buy page",1,"
●  1 x  12 Months Art Store subscription [ZG-12MONTHSARTSTORE]
●  0 x  1 unit of Free Frame Bezel [Select free bezel on buy page]
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-01,,inStock,,,"98"" Neo QLED 8K QN990 (2025)",,N,QA98QN990FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA98QN990FJXZK,QA98QN990FJXZK,"295,480","295,480",,,295480,No,0,0,,,,,,,,,,,Add to Cart,"295,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-02,,inStock,,,"85"" Neo QLED 8K QN990 (2025)",,N,QA85QN990FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA85QN990FJXZK,QA85QN990FJXZK,"109,980","109,980",,,"109,980",No,0,0,,,,,,,,,,,Add to Cart,"109,980.00",,Z-WMN-B30FB/RU,,,,,,,,,,Z-WMN-B30FB/RU,1,"
●  1 x  Full Motion Slim Fit TV Wallmount with installation [Z-WMN-B30FB/RU]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-03,,inStock,,,"75"" Neo QLED 8K QN990 (2025)",,N,QA75QN990FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA75QN990FJXZK,QA75QN990FJXZK,"84,980","84,980",,,"84,980",No,0,0,,,,,,,,,,,Add to Cart,"84,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-04,,inStock,,,"65"" Neo QLED 8K QN990 (2025)",,N,QA65QN990FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65QN990FJXZK,QA65QN990FJXZK,"46,980","46,980",,,"46,980",No,0,0,,,,,,,,,,,Add to Cart,"46,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-05,,inStock,,,"75"" Neo QLED 8K QN990 (2025)",,N,QA75QN900FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA75QN900FJXZK,QA75QN900FJXZK,"59,980","59,980",,,"59,980",No,0,0,,,,,,,,,,,Add to Cart,"59,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-06,,inStock,,,"65"" Neo QLED 8K QN990 (2025)",,N,QA65QN900FJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65QN900FJXZK,QA65QN900FJXZK,"33,980","33,980",,,"33,980",No,0,0,,,,,,,,,,,Add to Cart,"33,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-01,,inStock,,,"77"" OLED S95F (2025)",,N,QA77S95FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA77S95FAJXZK,QA77S95FAJXZK,"63,480","63,480",,,"63,480",No,0,0,,,,,,,,,,,Add to Cart,"63,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-02,,inStock,,,"65"" OLED S95F (2025)",,N,QA65S95FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65S95FAJXZK,QA65S95FAJXZK,"33,480","33,480",,,"33,480",No,0,0,,,,,,,,,,,Add to Cart,"33,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-03,,inStock,,,"55"" OLED S95F (2025)",,N,QA55S95FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA55S95FAJXZK,QA55S95FAJXZK,"23,480","23,480",,,"23,480",No,0,0,,,,,,,,,,,Add to Cart,"23,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-04,,OOS (Blocked),,,"83"" OLED S90F (2025)",,N,QA83S90FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA83S90FAEXZK,QA83S90FAEXZK,"74,980","74,980",,,"74,980",No,0,0,,,,,,,,,,,Add to Cart,"74,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-05,,inStock,,,"77"" OLED S90F (2025)",,N,QA77S90FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA77S90FAEXZK,QA77S90FAEXZK,"49,980","49,980",,,"49,980",No,0,0,,,,,,,,,,,Add to Cart,"49,980.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-06,,inStock,,,"65"" OLED S90F (2025)",,N,QA65S90FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65S90FAEXZK,QA65S90FAEXZK,"25,280","25,280",,,"25,280",No,0,0,,,,,,,,,,,Add to Cart,"25,280.00",,Z-WMN-B05FB/XY,,,,,,,,,,Z-WMN-B05FB/XY,1,"
●  1 x  Full Motion Slim Fit Wall Mount WMN-B05FB (2023) [Z-WMN-B05FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-07,,inStock,,,"55"" OLED S90F (2025)",,N,QA55S90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA55S90FAJXZK,QA55S90FAJXZK,"19,280","19,280",,,"19,280",No,0,0,,,,,,,,,,,Add to Cart,"19,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-08,,inStock,,,"48"" OLED S90F (2025)",,N,QA48S90FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA48S90FAEXZK,QA48S90FAEXZK,"13,980","13,980",,,"13,980",No,0,0,,,,,,,,,,,Add to Cart,"13,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-O-09,,inStock,,,"42"" OLED S90F (2025)",,N,QA42S90FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA42S90FAEXZK,QA42S90FAEXZK,"11,380","11,380",,,11380,No,0,0,,,,,,,,,,,Add to Cart,"11,380.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-07,,inStock,,,"98"" Neo QLED 4K QN90F (2025)",,N,QA98QN90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA98QN90FAJXZK,QA98QN90FAJXZK,"119,980","119,980",,,119980,No,0,0,,,,,,,,,,,Add to Cart,"119,980.00",,Z-WMN8000SX/XY,,,,,,,,,,Z-WMN8000SX/XY,1,"
●  1 x  TV Wall mount (WMN8000SX) [Z-WMN8000SX/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-08,,inStock,,,"65"" Neo QLED 4K QN90F (2025)",,N,QA65QN90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65QN90FAJXZK,QA65QN90FAJXZK,"24,280","24,280",,,24280,No,0,0,,,,,,,,,,,Add to Cart,"24,280.00",,Z-WMN-B16FB/XY,,,,,Z-HW-C450/ZK,,,,,"Z-WMN-B16FB/XY,Z-HW-C450/ZK",2,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
●  1 x  C-Series HW-C450 2.1ch Soundbar [Z-HW-C450/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-09,,inStock,,,"55"" Neo QLED 4K QN90F (2025)",,N,QA55QN90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA55QN90FAJXZK,QA55QN90FAJXZK,"18,280","18,280",,,18280,No,0,0,,,,,,,,,,,Add to Cart,"18,280.00",,,,,,,Z-HW-C450/ZK,,,,,Z-HW-C450/ZK,1,"
●  1 x  C-Series HW-C450 2.1ch Soundbar [Z-HW-C450/ZK]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-10,,inStock,,,"50"" Neo QLED 4K QN90F (2025)",,N,QA50QN90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA50QN90FAJXZK,QA50QN90FAJXZK,"13,280","13,280",,,13280,No,0,0,,,,,,,,,,,Add to Cart,"13,280.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-11,,inStock,,,"43"" Neo QLED 4K QN90F (2025)",,N,QA43QN90FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA43QN90FAJXZK,QA43QN90FAJXZK,"10,780","10,780",,,10780,No,0,0,,,,,,,,,,,Add to Cart,"10,780.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-12,,inStock,,,"83"" OLED S85F (2025)",,N,QA83S85FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA83S85FAEXZK,QA83S85FAEXZK,"62,480","62,480",,,62480,No,0,0,,,,,,,,,,,Add to Cart,"62,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-13,,inStock,,,"77"" OLED S85F (2025)",,N,QA77S85FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA77S85FAEXZK,QA77S85FAEXZK,"42,480","42,480",,,42480,No,0,0,,,,,,,,,,,Add to Cart,"42,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-14,,inStock,,,"65"" OLED S85F (2025)",,N,QA65S85FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65S85FAEXZK,QA65S85FAEXZK,"21,980","21,980",,,"21,980",No,0,0,,,,,,,,,,,Add to Cart,"21,980.00",,Z-WMN-B05FB/XY,,,,,,,,,,Z-WMN-B05FB/XY,1,"
●  1 x  Full Motion Slim Fit Wall Mount WMN-B05FB (2023) [Z-WMN-B05FB/XY]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-15,,inStock,,,"55"" OLED S85F (2025)",,N,QA55S85FAEXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA55S85FAEXZK,QA55S85FAEXZK,"15,980","15,980",,,"15,980",No,0,0,,,,,,,,,,,Add to Cart,"15,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto,EA=CTV25-QN-16,,inStock,,,"65"" Neo QLED 4K QN85F (2025)",,N,QA65QN85FAJXZK,https://www.samsung.com/hk/multistore/hkses/buy.QA65QN85FAJXZK,QA65QN85FAJXZK,"16,480","16,480",,,"16,480",No,0,0,,,,,,,,,,,Add to Cart,"16,480.00",,Z-WMN-B16FB/XY,,,,,,,,,,Z-WMN-B16FB/XY,1,"
●  1 x  Full Motion Slim Wall Mount WMN-B16FB (2023) [Z-WMN-B16FB/XY]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
