Bundle SPP,,,,,,110,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
MXBUN-14,Non-S25FF Ring,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9 [SM-Q509NZDATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9280LGHTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9280LGHTGY",SM-Q509NZDATGY,SPP,"
",SM-Q509NZDATGY,1,1,"3,298","3,298","2,638","2,638",,,,0.00,,,,"2,638.00","2,638.00",0.00,0.00,"2,638.00","10,716.00",0.00,"2,638.00","10,716.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S24 Ultra, 512GB, Titanium Green (eStore) [SM-S9280LGHTGY]",,,SM-S9280LGHTGY,SPP,"
",SM-S9280LGHTGY,1,1,"10,098","10,098","8,078","8,078",500,,,,,,,"8,078.00","8,078.00",0.00,,"8,078.00",,,"8,078.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,A Fit3,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Fit3 [SM-R390NIDATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R390NIDATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-R390NIDATGY, SM-A5660ZKDTGY",SM-R390NIDATGY,SPP,"
",SM-R390NIDATGY,2,2,996,498,423,423,,,,0.00,100,RRP,398.00,398.00,821.00,821.00,821.00,821.00,"3,820.00",0.00,821.00,"3,820.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,Non-A Fit3,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Fit3 [SM-R390NIDATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R390NIDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZKWTGY&&products[1].quantity=1,"SM-R390NIDATGY, SM-S9380ZKWTGY",SM-R390NIDATGY,SPP,"
",SM-R390NIDATGY,1,1,498,498,423,423,,,,0.00,,,,423.00,423.00,423.00,423.00,423.00,"11,543.00",0.00,423.00,"11,543.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black [SM-S9380ZKWTGY]",,,SM-S9380ZKWTGY,SPP,"
",SM-S9380ZKWTGY,1,1,"13,398","13,398","11,120","11,120",350,,,,,,,"11,120.00","11,120.00",0.00,,"11,120.00",,,"11,120.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-01,Tab S10U accy,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Tab S10U Book Cover Keyboard - AI Key White [EF-DX925UWEGWW],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX925UWEGWW&&products[0].quantity=3&&products[1].productCode=SM-X920NZAITGY&&products[1].quantity=1,"EF-DX925UWEGWW, SM-X920NZAITGY",EF-DX925UWEGWW,SPP,"
",EF-DX925UWEGWW,3,3,"5,997","1,999","1,499","1,499",,,,0.00,30%,RRP,"1,399.30","1,399.30","4,397.30","4,397.30","4,397.30","4,397.30","13,209.30",0.00,"4,397.30","13,209.30",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 Ultra Wifi, 16GB+1TB, Moonstone Gray (Online Exclusive) [SM-X920NZAITGY]",,,SM-X920NZAITGY,SPP,"
",SM-X920NZAITGY,1,1,"12,588","12,588","8,812","8,812",500,,,,,,,"8,812.00","8,812.00",0.00,,"8,812.00",,,"8,812.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-02,Tab S10+ accy,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Tab S10+  Book Cover Keyboard - AI Key White [EF-DX825UWEGWW],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX825UWEGWW&&products[0].quantity=3&&products[1].productCode=SM-X826BZAETGY&&products[1].quantity=1,"EF-DX825UWEGWW, SM-X826BZAETGY",EF-DX825UWEGWW,SPP,"
",EF-DX825UWEGWW,3,3,"3,897","1,299",974,974,,,,0.00,30%,RRP,909.30,909.30,"2,857.30","2,857.30","2,857.30","2,857.30","10,767.30",0.00,"2,857.30","10,767.30",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10+ 5G, 12GB+512GB, Moonstone Gray [SM-X826BZAETGY]",,,SM-X826BZAETGY,SPP,"
",SM-X826BZAETGY,1,1,"9,888","9,888","7,910","7,910",500,,,,,,,"7,910.00","7,910.00",0.00,,"7,910.00",,,"7,910.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-03,Tab S10 FE accy 1,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard Slim — AI Key Black [EF-DX720UBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX720UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX720UBEGWW, SM-X520NLBETGY",EF-DX720UBEGWW,SPP,"
",EF-DX720UBEGWW,3,3,"2,397",799,599,599,,,,0.00,300,RRP,499.00,499.00,"1,697.00","1,697.00","1,697.00","1,697.00","5,230.00",0.00,"1,697.00","5,230.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,SPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,,,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-04,Tab S10 FE accy 2,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard — AI Key Black [EF-DX725UBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX725UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX725UBEGWW, SM-X520NLBETGY",EF-DX725UBEGWW,SPP,"
0",EF-DX725UBEGWW,3,0,"3,597","1,199",899,899,,,,0.00,500,RRP,699.00,699.00,-200.00,-200.00,-200.00,0.00,"3,533.00",0.00,0.00,"3,533.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,SPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,,,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-05,Tab S10 FE accy 3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Smart Book Cover Black [EF-BX710PBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-BX710PBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-BX710PBEGWW, SM-X520NLBETGY",EF-BX710PBEGWW,SPP,"
",EF-BX710PBEGWW,3,3,"1,347",449,337,337,,,,0.00,30%,RRP,314.30,314.30,988.30,988.30,988.30,988.30,"4,521.30",0.00,988.30,"4,521.30",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,SPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,,,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-06,Tab S10 FE+ accy 1,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Book Cover Keyboard Slim — AI Key Black [EF-DX620UBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX620UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-DX620UBEGWW, SM-X620NZAATGY",EF-DX620UBEGWW,SPP,"
",EF-DX620UBEGWW,3,3,"3,987","1,329",997,997,,,,0.00,630,RRP,699.00,699.00,"2,693.00","2,693.00","2,693.00","2,693.00","6,380.00",0.00,"2,693.00","6,380.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,SPP,"
",SM-X620NZAATGY,1,1,"4,788","4,788","3,687","3,687","1,080",,,,,,,"3,687.00","3,687.00",0.00,,"3,687.00",,,"3,687.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-07,Tab S10 FE+ accy 2,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Book Cover Keyboard — AI Key Black [EF-DX625UBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-DX625UBEGWW&&products[0].quantity=2&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-DX625UBEGWW, SM-X620NZAATGY",EF-DX625UBEGWW,SPP,"
",EF-DX625UBEGWW,2,2,"3,738","1,869","1,402","1,402",,,,0.00,970,RRP,899.00,899.00,"2,301.00","2,301.00","2,301.00","2,301.00","5,988.00",0.00,"2,301.00","5,988.00",1 x  Z-AVDAVOUCHER,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,SPP,"
",SM-X620NZAATGY,1,1,"4,788","4,788","3,687","3,687","1,080",,,,,,,"3,687.00","3,687.00",0.00,,"3,687.00",,,"3,687.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-08,Tab S10 FE+ accy 3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Smart Book Cover Black [EF-BX620PBEGWW]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EF-BX620PBEGWW&&products[0].quantity=2&&products[1].productCode=SM-X620NZAATGY&&products[1].quantity=1,"EF-BX620PBEGWW, SM-X620NZAATGY",EF-BX620PBEGWW,SPP,"
",EF-BX620PBEGWW,2,2,"1,558",779,584,584,,,,0.00,30%,RRP,545.30,545.30,"1,129.30","1,129.30","1,129.30","1,129.30","4,816.30",0.00,"1,129.30","4,816.30",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",,,SM-X620NZAATGY,SPP,"
",SM-X620NZAATGY,1,1,"4,788","4,788","3,687","3,687","1,080",,,,,,,"3,687.00","3,687.00",0.00,,"3,687.00",,,"3,687.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-01,S25 Tab S10FE+ ,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Gray, 12GB, 256GB [SM-X620NZAETGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-X620NZAETGY&&products[0].quantity=2&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-X620NZAETGY, SM-S9360ZKGTGY",SM-X620NZAETGY,SPP,"
",SM-X620NZAETGY,2,2,"11,176","5,588","4,303","4,303","2,160",,,0.00,800,RRP,"4,303.00","4,303.00","8,606.00",0.00,0.00,"8,606.00","15,742.00",0.00,"8,606.00","15,742.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",,,SM-S9360ZKGTGY,SPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-02,S25 Tab S10FE+,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE+, Light Blue, 12GB, 256GB [SM-X620NLBETGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-X620NLBETGY&&products[0].quantity=2&&products[1].productCode=SM-S9360DBGTGY&&products[1].quantity=1,"SM-X620NLBETGY, SM-S9360DBGTGY",SM-X620NLBETGY,SPP,"
",SM-X620NLBETGY,2,2,"11,176","5,588","4,303","4,303","2,160",,,0.00,800,RRP,"4,303.00","4,303.00","8,606.00",0.00,0.00,"8,606.00","15,742.00",0.00,"8,606.00","15,742.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Navy [SM-S9360DBGTGY]",,,SM-S9360DBGTGY,SPP,"
",SM-S9360DBGTGY,1,1,"8,598","8,598","7,136","7,136",300,,,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-03,S25 Tab S10FE,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE, Gray, 12GB, 256GB [SM-X520NZAETGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-X520NZAETGY&&products[0].quantity=2&&products[1].productCode=SM-S9310LGGTGY&&products[1].quantity=1,"SM-X520NZAETGY, SM-S9310LGGTGY",SM-X520NZAETGY,SPP,"
",SM-X520NZAETGY,2,2,"9,176","4,588","3,533","3,533","2,160",,,0.00,600,RRP,"3,533.00","3,533.00","7,066.00",0.00,0.00,"7,066.00","12,079.00",0.00,"7,066.00","12,079.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25, 256GB+8GB, Mint [SM-S9310LGGTGY]",,,SM-S9310LGGTGY,SPP,"
",SM-S9310LGGTGY,1,1,"5,898","5,898","5,013","5,013",300,,,,,,,"5,013.00","5,013.00",0.00,,"5,013.00",,,"5,013.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25-TAB-04,S25 Tab S10FE,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE, Gray, 8GB, 128GB [SM-X520NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-X520NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZBWTGY&&products[1].quantity=1,"SM-X520NZAATGY, SM-S9380ZBWTGY",SM-X520NZAATGY,SPP,"
",SM-X520NZAATGY,2,2,"7,576","3,788","2,917","2,917","2,160",,,0.00,600,RRP,"2,917.00","2,917.00","5,834.00",0.00,0.00,"5,834.00","16,954.00",0.00,"5,834.00","16,954.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Silverblue [SM-S9380ZBWTGY]",,,SM-S9380ZBWTGY,SPP,"
",SM-S9380ZBWTGY,1,1,"13,398","13,398","11,120","11,120",350,,,,,,,"11,120.00","11,120.00",0.00,,"11,120.00",,,"11,120.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,WU B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L705FDAATGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,500,RRP,"1,498.00","1,498.00","2,997.00","2,997.00","2,997.00","2,997.00","2,997.00",0.00,"2,997.00","2,997.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",,,SM-L705FDAATGY,SPP,"
0",SM-L705FDAATGY,1,0,"5,098","5,098","3,824","3,824",,,,,,,,"3,824.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-16,W7 L315 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L315FZSATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L315FZSATGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,600,RRP,"1,398.00","1,398.00","2,897.00","2,897.00","2,897.00","2,897.00","2,897.00",0.00,"2,897.00","2,897.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 44mm (LTE), Silver [SM-L315FZSATGY]",,,SM-L315FZSATGY,SPP,"
0",SM-L315FZSATGY,1,0,"2,598","2,598","2,249","2,249",,,,,,,,"2,249.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-17,W7 L310 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L310NZSATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L310NZSATGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,600,RRP,"1,398.00","1,398.00","2,897.00","2,897.00","4,846.00","2,897.00","4,846.00",0.00,"2,897.00","4,846.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 44mm (BT), Silver [SM-L310NZSATGY]",,,SM-L310NZSATGY,SPP,"
",SM-L310NZSATGY,1,1,"2,198","2,198","1,949","1,949",,,,,,,,"1,949.00","1,949.00","1,949.00",,"1,949.00",,,"1,949.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-18,W7 L305 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L305FZEATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L305FZEATGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,600,RRP,"1,398.00","1,398.00","2,897.00","2,897.00","2,897.00","2,897.00","2,897.00",0.00,"2,897.00","2,897.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 40mm (LTE), Cream [SM-L305FZEATGY]",,,SM-L305FZEATGY,SPP,"
0",SM-L305FZEATGY,1,0,"2,398","2,398","2,099","2,099",,,,,,,,"2,099.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-19,W7 L300 B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-L300NZGATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L300NZGATGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,600,RRP,"1,398.00","1,398.00","2,897.00","2,897.00","2,897.00","2,897.00","2,897.00",0.00,"2,897.00","2,897.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 40mm (BT), Green [SM-L300NZGATGY]",,,SM-L300NZGATGY,SPP,"
0",SM-L300NZGATGY,1,0,"1,998","1,998","1,799","1,799",,,,,,,,"1,799.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRgame,"B7Q7 HRgame 100GC 
(Til Jul 30)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,Galaxy SmartTag2 (4pack) [EI-T5600KWEGWW],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=EI-T5600KWEGWW&&products[0].quantity=1&&products[1].productCode=EF-GS931CBEGWW&&products[1].quantity=1,"EI-T5600KWEGWW, EF-GS931CBEGWW",EI-T5600KWEGWW,SPP,"
",EI-T5600KWEGWW,1,1,788,788,591,591,,100,,0.00,,,,591.00,591.00,591.00,852.00,591.00,852.00,0.00,591.00,852.00,,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25, Standing Grip Case, Black [EF-GS931CBEGWW]",,,EF-GS931CBEGWW,SPP,"
",EF-GS931CBEGWW,1,1,348,348,261,261,,,,,,,,261.00,261.00,261.00,,261.00,,,261.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRED-TAB-01,"S25 Tab S10FE+ 
(stopped Jul1)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Silverblue [SM-S9380ZBWTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZBWTGY&&products[0].quantity=1&&products[1].productCode=SM-X620NZAETGY&&products[1].quantity=1,"SM-S9380ZBWTGY, SM-X620NZAETGY",SM-S9380ZBWTGY,SPP,"
",SM-S9380ZBWTGY,1,1,"13,398","13,398","11,120","11,120",350,,,0.00,,,,"11,120.00","11,120.00",0.00,0.00,"11,120.00","15,423.00",0.00,"11,120.00","15,423.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE+, Gray, 12GB, 256GB [SM-X620NZAETGY]",,,SM-X620NZAETGY,SPP,"
",SM-X620NZAETGY,1,1,"5,588","5,588","4,303","4,303","1,080",,,,,,,"4,303.00","4,303.00",0.00,,"4,303.00",,,"4,303.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRED-TAB-02,"S25 Tab S10FE+
(stopped Jul1)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360ZKGTGY&&products[0].quantity=1&&products[1].productCode=SM-X620NLBETGY&&products[1].quantity=1,"SM-S9360ZKGTGY, SM-X620NLBETGY",SM-S9360ZKGTGY,SPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,,0.00,,,,"7,136.00","7,136.00",0.00,0.00,"7,136.00","11,439.00",0.00,"7,136.00","11,439.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE+, Light Blue, 12GB, 256GB [SM-X620NLBETGY]",,,SM-X620NLBETGY,SPP,"
",SM-X620NLBETGY,1,1,"5,588","5,588","4,303","4,303","1,080",,,,,,,"4,303.00","4,303.00",0.00,,"4,303.00",,,"4,303.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
